CALCULO_DEL_ESPECTRO											
ACELEROGRAMA_=	                 C:\Documents and Settings\Juan Manuel\Escritorio\FUK000_AT2.txt										
ARCHIVO_=	C:\Documents and Settings\Juan Manuel\Escritorio\Interaccion Suelo Estructura\FU										

ACELERACION_MAXIMA_ORIGINAL=	0.03369	 g									
CONSTANTE NORMALIZACION_=	1										
ACELERACION_MAXIMA_=	0.03369	 g									
ACELERACION_MAXIMA_=	0.33034	 m/s2									
ESPECTRO_DE_ACELERACIONES_(m/s2_y_g)											
PERIODO	x=0.02	x=0.05	x=0.08	x=0.10	x=0.20	PERIODO	x=0.02	x=0.05	x=0.08	x=0.10	x=0.20
3.62	0.0906	0.081	0.0736	0.0699	0.0633	3.62	0.0092	0.0083	0.0075	0.0071	0.0065
3.64	0.0906	0.0804	0.0729	0.0693	0.0627	3.64	0.0092	0.0082	0.0074	0.0071	0.0064
3.66	0.0906	0.0798	0.0722	0.0686	0.0622	3.66	0.0092	0.0081	0.0074	0.007	0.0063
3.68	0.0906	0.0791	0.0714	0.0678	0.0617	3.68	0.0092	0.0081	0.0073	0.0069	0.0063
3.7	0.0904	0.0783	0.0705	0.067	0.0613	3.7	0.0092	0.008	0.0072	0.0068	0.0063
3.72	0.0901	0.0774	0.0696	0.0662	0.061	3.72	0.0092	0.0079	0.0071	0.0067	0.0062
3.74	0.0895	0.0764	0.0687	0.0653	0.0607	3.74	0.0091	0.0078	0.007	0.0067	0.0062
3.76	0.0888	0.0753	0.0677	0.0644	0.0604	3.76	0.0091	0.0077	0.0069	0.0066	0.0062
3.78	0.0877	0.0742	0.0666	0.0635	0.0601	3.78	0.0089	0.0076	0.0068	0.0065	0.0061
3.8	0.0864	0.0729	0.0655	0.0629	0.0598	3.8	0.0088	0.0074	0.0067	0.0064	0.0061
3.82	0.0848	0.0714	0.0643	0.0625	0.0594	3.82	0.0086	0.0073	0.0066	0.0064	0.0061
3.84	0.0829	0.0699	0.0634	0.062	0.0591	3.84	0.0084	0.0071	0.0065	0.0063	0.006
3.86	0.0807	0.0683	0.0629	0.0614	0.0587	3.86	0.0082	0.007	0.0064	0.0063	0.006
3.88	0.0783	0.0665	0.0623	0.0609	0.0584	3.88	0.008	0.0068	0.0064	0.0062	0.006
3.9	0.0771	0.0653	0.0617	0.0603	0.058	3.9	0.0079	0.0067	0.0063	0.0062	0.0059
3.92	0.0759	0.0646	0.0611	0.0598	0.0577	3.92	0.0077	0.0066	0.0062	0.0061	0.0059
3.94	0.0744	0.0638	0.0604	0.0592	0.0573	3.94	0.0076	0.0065	0.0062	0.006	0.0058
3.96	0.0727	0.063	0.0597	0.0586	0.0569	3.96	0.0074	0.0064	0.0061	0.006	0.0058
3.98	0.0708	0.0621	0.059	0.0579	0.0566	3.98	0.0072	0.0063	0.006	0.0059	0.0058
4	0.0687	0.0611	0.0583	0.0573	0.0562	4	0.007	0.0062	0.0059	0.0058	0.0057
4.02	0.0665	0.0601	0.0575	0.0567	0.0558	4.02	0.0068	0.0061	0.0059	0.0058	0.0057
4.04	0.0641	0.059	0.0568	0.056	0.0554	4.04	0.0065	0.006	0.0058	0.0057	0.0057
4.06	0.0622	0.058	0.056	0.0553	0.0551	4.06	0.0063	0.0059	0.0057	0.0056	0.0056
4.08	0.0631	0.0569	0.0552	0.0547	0.0547	4.08	0.0064	0.0058	0.0056	0.0056	0.0056
4.1	0.0658	0.0558	0.0544	0.054	0.0543	4.1	0.0067	0.0057	0.0055	0.0055	0.0055
4.12	0.0677	0.0547	0.0536	0.0533	0.0539	4.12	0.0069	0.0056	0.0055	0.0054	0.0055
4.14	0.0686	0.0536	0.0528	0.0527	0.0535	4.14	0.007	0.0055	0.0054	0.0054	0.0055
4.16	0.0686	0.0525	0.052	0.052	0.0531	4.16	0.007	0.0054	0.0053	0.0053	0.0054
4.18	0.0678	0.0518	0.0512	0.0513	0.0527	4.18	0.0069	0.0053	0.0052	0.0052	0.0054
4.2	0.0666	0.0516	0.0504	0.0507	0.0523	4.2	0.0068	0.0053	0.0051	0.0052	0.0053
4.22	0.0658	0.0513	0.0497	0.05	0.052	4.22	0.0067	0.0052	0.0051	0.0051	0.0053
4.24	0.0661	0.0511	0.0489	0.0494	0.0516	4.24	0.0067	0.0052	0.005	0.005	0.0053
4.26	0.0672	0.0507	0.0482	0.0487	0.0512	4.26	0.0068	0.0052	0.0049	0.005	0.0052
4.28	0.068	0.0504	0.0475	0.0481	0.0508	4.28	0.0069	0.0051	0.0048	0.0049	0.0052
4.3	0.0684	0.0501	0.0468	0.0475	0.0504	4.3	0.007	0.0051	0.0048	0.0048	0.0051
4.32	0.0686	0.0497	0.0465	0.0469	0.05	4.32	0.007	0.0051	0.0047	0.0048	0.0051
4.34	0.0683	0.0493	0.0463	0.0463	0.0497	4.34	0.007	0.005	0.0047	0.0047	0.0051
4.36	0.0676	0.0489	0.0461	0.0457	0.0493	4.36	0.0069	0.005	0.0047	0.0047	0.005
4.38	0.0664	0.0486	0.0459	0.0451	0.0489	4.38	0.0068	0.005	0.0047	0.0046	0.005
4.4	0.0658	0.0482	0.0457	0.0446	0.0485	4.4	0.0067	0.0049	0.0047	0.0045	0.0049
4.42	0.0652	0.0478	0.0455	0.0441	0.0482	4.42	0.0067	0.0049	0.0046	0.0045	0.0049
4.44	0.0644	0.0474	0.0452	0.044	0.0478	4.44	0.0066	0.0048	0.0046	0.0045	0.0049
